TransactionAmount,TransactionType,Location,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,LoginAttempts_Binned,cluster
59.12,Debit,Baltimore,M053,ATM,29,Doctor,257,1,9823.64,Sangat Rendah,0
396.45,Debit,New York,M007,ATM,49,Engineer,168,3,9690.15,Rendah,1
877.81,Debit,Los Angeles,M094,Online,22,Student,150,1,399.0,Sangat Rendah,0
255.26,Credit,San Francisco,M002,Branch,45,Doctor,50,1,14815.87,Sangat Rendah,0
124.76,Debit,Seattle,M002,Branch,49,Engineer,45,1,5764.72,Sangat Rendah,0
78.13,Debit,Milwaukee,M028,Branch,26,Student,145,1,900.61,Sangat Rendah,0
649.28,Debit,San Jose,M074,ATM,75,Retired,137,1,4875.86,Sangat Rendah,0
795.31,Debit,Mesa,M048,ATM,66,Doctor,90,2,7914.88,Rendah,0
335.63,Debit,Oklahoma City,M040,Online,55,Retired,216,1,1019.39,Sangat Rendah,0
328.47,Debit,San Antonio,M014,ATM,63,Retired,119,1,4323.66,Sangat Rendah,0
34.02,Debit,Philadelphia,M046,Online,38,Doctor,19,1,14214.48,Sangat Rendah,0
241.42,Credit,Charlotte,M044,Online,57,Doctor,116,1,13357.02,Sangat Rendah,0
55.32,Debit,Tucson,M009,ATM,19,Student,117,1,241.79,Sangat Rendah,0
304.31,Debit,Louisville,M005,Branch,27,Student,33,1,868.61,Sangat Rendah,0
435.27,Debit,Chicago,M051,Branch,74,Retired,90,1,4673.28,Sangat Rendah,0
164.49,Debit,Baltimore,M070,Branch,26,Student,75,1,1509.27,Sangat Rendah,0
510.24,Debit,Oklahoma City,M090,Online,19,Student,105,1,781.7,Sangat Rendah,0
626.9,Debit,Denver,M023,Online,26,Student,138,1,265.51,Sangat Rendah,0
22.01,Credit,Sacramento,M055,Online,41,Engineer,175,1,1335.09,Sangat Rendah,0
425.34,Credit,Kansas City,M040,Online,69,Retired,121,1,3907.54,Sangat Rendah,0
424.56,Debit,Omaha,M015,Online,51,Engineer,264,1,5183.85,Sangat Rendah,0
85.43,Debit,Virginia Beach,M078,Branch,67,Doctor,145,1,14904.9,Sangat Rendah,0
169.5,Debit,San Diego,M036,Branch,28,Student,142,1,918.88,Sangat Rendah,0
104.63,Debit,Omaha,M095,ATM,62,Retired,90,1,4477.78,Sangat Rendah,0
316.95,Debit,Mesa,M052,Branch,25,Student,83,1,1324.03,Sangat Rendah,0
60.54,Credit,Columbus,M095,Branch,57,Retired,52,1,3534.93,Sangat Rendah,0
292.56,Credit,Dallas,M075,Branch,68,Retired,61,1,4638.37,Sangat Rendah,0
386.52,Debit,Indianapolis,M064,Branch,48,Engineer,28,1,5630.61,Sangat Rendah,0
112.07,Debit,Kansas City,M064,Branch,23,Student,51,1,930.3,Sangat Rendah,0
568.52,Debit,Indianapolis,M094,ATM,46,Engineer,152,1,5499.91,Sangat Rendah,0
263.99,Debit,Dallas,M087,Branch,79,Retired,227,2,4175.02,Rendah,0
349.64,Debit,Las Vegas,M097,Online,48,Engineer,226,1,6651.62,Sangat Rendah,0
601.4,Credit,Philadelphia,M001,Branch,56,Engineer,104,1,8458.29,Sangat Rendah,0
5.77,Debit,Charlotte,M071,Online,50,Doctor,124,1,13988.12,Sangat Rendah,0
201.33,Credit,Nashville,M003,Branch,42,Engineer,186,1,2585.07,Sangat Rendah,0
298.42,Debit,Indianapolis,M005,Branch,56,Retired,225,1,3014.75,Sangat Rendah,0
521.06,Debit,Albuquerque,M063,Branch,25,Student,128,1,1951.42,Sangat Rendah,0
117.28,Credit,Austin,M057,Online,60,Engineer,16,1,3665.77,Sangat Rendah,0
189.12,Credit,Indianapolis,M040,Branch,32,Engineer,103,1,977.01,Sangat Rendah,0
133.55,Debit,Atlanta,M091,ATM,44,Engineer,220,1,3846.28,Sangat Rendah,0
143.21,Debit,Dallas,M066,Online,35,Engineer,135,1,6374.82,Sangat Rendah,0
24.77,Debit,Boston,M070,ATM,62,Retired,55,1,5866.01,Sangat Rendah,0
233.92,Credit,Jacksonville,M046,Online,26,Student,280,1,6537.62,Sangat Rendah,0
1212.51,Debit,Indianapolis,M036,Branch,20,Student,24,1,605.95,Sangat Rendah,0
232.12,Debit,Omaha,M066,ATM,37,Engineer,51,1,6689.87,Sangat Rendah,0
162.63,Debit,Kansas City,M060,Online,22,Student,113,1,634.17,Sangat Rendah,0
91.53,Debit,Milwaukee,M095,Branch,44,Doctor,69,1,14676.05,Sangat Rendah,0
120.29,Debit,Miami,M045,Branch,19,Student,77,1,1362.39,Sangat Rendah,0
174.25,Debit,Seattle,M032,Online,50,Doctor,67,1,10528.34,Sangat Rendah,0
183.71,Debit,Denver,M074,ATM,38,Engineer,102,1,552.52,Sangat Rendah,0
345.39,Credit,Phoenix,M081,Online,58,Engineer,80,1,6451.96,Sangat Rendah,0
922.55,Debit,Detroit,M004,ATM,63,Retired,87,1,4715.84,Sangat Rendah,0
259.91,Debit,Denver,M028,Online,49,Doctor,170,1,7176.86,Sangat Rendah,0
154.71,Debit,San Diego,M030,Online,34,Doctor,157,1,1523.72,Sangat Rendah,0
1340.19,Credit,Austin,M012,Online,54,Engineer,30,1,8654.28,Sangat Rendah,0
24.56,Debit,Mesa,M033,Branch,64,Doctor,69,1,9869.93,Sangat Rendah,0
568.07,Debit,Washington,M054,ATM,48,Doctor,115,1,10556.81,Sangat Rendah,0
9.61,Credit,San Diego,M043,Online,58,Doctor,179,1,12883.91,Sangat Rendah,0
392.96,Debit,Kansas City,M022,Online,24,Student,100,1,791.65,Sangat Rendah,0
716.93,Credit,Milwaukee,M052,Online,60,Retired,34,1,4064.02,Sangat Rendah,0
223.85,Debit,Kansas City,M009,ATM,53,Engineer,55,4,2929.91,Sedang,1
230.66,Debit,Houston,M049,Branch,21,Student,135,1,618.05,Sangat Rendah,0
442.12,Debit,Los Angeles,M047,Online,19,Student,260,1,1375.8,Sangat Rendah,0
644.17,Debit,San Antonio,M093,ATM,29,Engineer,72,1,1143.52,Sangat Rendah,0
508.68,Credit,Mesa,M048,Branch,51,Engineer,127,1,7708.41,Sangat Rendah,0
858.63,Credit,San Francisco,M002,Branch,27,Student,185,1,1872.96,Sangat Rendah,0
25.36,Debit,Louisville,M007,ATM,57,Engineer,78,1,201.04,Sangat Rendah,0
147.62,Debit,Charlotte,M028,Branch,71,Retired,133,1,2115.8,Sangat Rendah,0
115.02,Debit,San Antonio,M004,Branch,37,Doctor,175,1,7643.66,Sangat Rendah,0
383.37,Debit,Fort Worth,M066,Branch,30,Engineer,24,1,8901.93,Sangat Rendah,0
98.54,Credit,El Paso,M095,Online,20,Student,167,1,9383.43,Sangat Rendah,0
83.24,Credit,Fort Worth,M009,Branch,55,Doctor,164,1,1181.31,Sangat Rendah,0
196.16,Debit,Virginia Beach,M099,Branch,27,Engineer,146,1,9418.86,Sangat Rendah,0
129.94,Debit,Las Vegas,M045,ATM,32,Engineer,235,1,7954.92,Sangat Rendah,0
306.9,Debit,Colorado Springs,M047,Online,46,Engineer,51,1,9418.08,Sangat Rendah,0
114.98,Debit,Seattle,M032,Online,59,Retired,80,1,6144.68,Sangat Rendah,0
756.59,Debit,Sacramento,M012,Branch,27,Student,17,1,420.65,Sangat Rendah,0
503.76,Debit,Los Angeles,M083,Online,22,Student,35,1,447.82,Sangat Rendah,0
143.03,Debit,San Antonio,M055,ATM,63,Retired,147,1,7981.45,Sangat Rendah,0
1045.22,Debit,Columbus,M077,ATM,53,Retired,73,1,1829.9,Sangat Rendah,0
245.54,Debit,New York,M089,ATM,25,Student,180,1,985.06,Sangat Rendah,0
254.37,Credit,Dallas,M012,Online,51,Engineer,174,1,8849.26,Sangat Rendah,0
213.76,Credit,Dallas,M009,ATM,78,Retired,282,1,3528.72,Sangat Rendah,0
327.86,Debit,Fresno,M051,Online,40,Engineer,104,1,480.16,Sangat Rendah,0
2.5,Debit,San Diego,M042,Online,47,Doctor,107,1,12145.27,Sangat Rendah,0
300.08,Credit,Austin,M040,Online,68,Doctor,47,1,13546.75,Sangat Rendah,0
56.98,Credit,Oklahoma City,M086,ATM,43,Engineer,122,2,5688.37,Rendah,0
407.65,Debit,Boston,M041,Online,26,Engineer,62,1,8346.64,Sangat Rendah,0
115.83,Debit,Fresno,M086,Branch,39,Engineer,167,1,6481.04,Sangat Rendah,0
53.57,Debit,Houston,M025,ATM,69,Retired,121,1,1651.33,Sangat Rendah,0
63.34,Credit,Detroit,M028,Online,46,Doctor,165,1,11174.94,Sangat Rendah,0
317.87,Debit,Detroit,M076,Online,27,Student,91,1,145.5,Sangat Rendah,0
331.65,Debit,Portland,M006,Online,41,Engineer,61,1,4172.57,Sangat Rendah,0
5.04,Debit,Washington,M001,ATM,56,Retired,41,1,5558.36,Sangat Rendah,0
214.54,Credit,Detroit,M026,Online,70,Doctor,247,1,11151.53,Sangat Rendah,0
598.81,Debit,Philadelphia,M081,Branch,57,Doctor,158,1,1415.52,Sangat Rendah,0
841.28,Debit,Tucson,M083,Online,26,Student,80,1,1103.64,Sangat Rendah,0
38.15,Debit,Mesa,M005,Online,26,Student,108,1,303.68,Sangat Rendah,0
1036.66,Debit,San Antonio,M062,Branch,58,Doctor,144,1,5541.57,Sangat Rendah,0
124.72,Debit,Oklahoma City,M004,Branch,33,Engineer,105,1,6309.8,Sangat Rendah,0
302.45,Credit,San Antonio,M059,Branch,78,Retired,40,1,5133.61,Sangat Rendah,0
208.04,Debit,Louisville,M055,Online,47,Engineer,273,1,9344.98,Sangat Rendah,0
5.77,Credit,Los Angeles,M098,Branch,23,Student,254,1,1117.97,Sangat Rendah,0
381.33,Debit,Albuquerque,M034,ATM,56,Doctor,75,1,11835.35,Sangat Rendah,0
16.16,Debit,Milwaukee,M065,ATM,50,Doctor,124,1,14401.17,Sangat Rendah,0
486.08,Debit,Oklahoma City,M060,Online,18,Student,68,1,1748.69,Sangat Rendah,0
336.39,Debit,San Antonio,M003,Branch,21,Student,18,1,1000.46,Sangat Rendah,0
997.43,Debit,Seattle,M067,Online,69,Doctor,118,1,6810.05,Sangat Rendah,0
234.57,Debit,Chicago,M045,Online,23,Student,120,1,263.98,Sangat Rendah,0
6.0,Debit,Chicago,M090,Online,30,Doctor,246,1,5442.76,Sangat Rendah,0
1049.92,Debit,Detroit,M052,ATM,80,Retired,21,1,2037.85,Sangat Rendah,0
227.14,Debit,Charlotte,M057,ATM,18,Student,294,1,341.94,Sangat Rendah,0
233.74,Credit,Oklahoma City,M030,Online,66,Retired,17,1,1066.59,Sangat Rendah,0
113.02,Credit,Jacksonville,M019,Branch,69,Retired,166,1,6077.96,Sangat Rendah,0
45.85,Debit,Los Angeles,M085,ATM,20,Student,92,1,1659.15,Sangat Rendah,0
973.39,Debit,Sacramento,M026,Branch,77,Retired,296,1,2042.22,Sangat Rendah,0
514.95,Debit,New York,M056,Online,41,Doctor,142,5,421.93,Sedang,1
415.5,Debit,Memphis,M077,ATM,66,Doctor,141,1,10113.66,Sangat Rendah,0
265.76,Debit,Philadelphia,M049,Online,54,Retired,92,1,4446.17,Sangat Rendah,0
69.4,Debit,Virginia Beach,M073,Online,80,Retired,113,1,6452.77,Sangat Rendah,0
332.93,Credit,Albuquerque,M039,Branch,35,Engineer,293,1,2788.2,Sangat Rendah,0
267.9,Debit,San Antonio,M078,Online,20,Student,160,1,596.16,Sangat Rendah,0
496.03,Debit,San Francisco,M009,Branch,61,Doctor,265,1,12904.66,Sangat Rendah,0
376.26,Debit,Tucson,M081,ATM,37,Engineer,245,1,9062.4,Sangat Rendah,0
83.02,Credit,Seattle,M058,Online,36,Engineer,171,1,9009.56,Sangat Rendah,0
93.26,Credit,New York,M092,Online,20,Student,72,1,1152.2,Sangat Rendah,0
803.37,Credit,Memphis,M030,Branch,68,Doctor,129,1,12168.37,Sangat Rendah,0
35.76,Debit,Charlotte,M057,Branch,23,Student,122,1,611.86,Sangat Rendah,0
28.53,Debit,Washington,M035,Online,62,Doctor,99,1,8670.53,Sangat Rendah,0
139.53,Credit,Louisville,M002,Online,53,Doctor,177,1,10098.86,Sangat Rendah,0
307.57,Debit,Detroit,M049,Branch,33,Doctor,285,1,5307.74,Sangat Rendah,0
60.65,Credit,Tucson,M085,Branch,56,Retired,53,1,1047.28,Sangat Rendah,0
74.86,Debit,Nashville,M028,Branch,70,Doctor,125,1,6921.48,Sangat Rendah,0
117.97,Debit,Kansas City,M100,Branch,51,Retired,137,1,1475.46,Sangat Rendah,0
231.91,Debit,Memphis,M044,ATM,34,Engineer,165,1,112.76,Sangat Rendah,0
126.21,Debit,Baltimore,M001,Branch,75,Retired,268,1,5669.66,Sangat Rendah,0
506.28,Credit,Chicago,M010,Online,53,Retired,162,2,1309.95,Rendah,0
304.35,Debit,Houston,M007,Branch,31,Engineer,36,1,4057.1,Sangat Rendah,0
281.85,Debit,Detroit,M013,ATM,22,Student,109,1,1585.98,Sangat Rendah,0
777.88,Debit,Houston,M018,Branch,31,Engineer,17,1,6825.55,Sangat Rendah,0
119.18,Debit,Los Angeles,M093,Branch,56,Retired,96,1,5516.5,Sangat Rendah,0
177.19,Debit,Chicago,M088,Online,76,Retired,43,1,5343.3,Sangat Rendah,0
260.88,Debit,Denver,M094,Branch,22,Student,36,1,903.05,Sangat Rendah,0
169.47,Debit,Chicago,M046,Online,24,Student,19,1,1806.16,Sangat Rendah,0
73.23,Debit,Portland,M022,Branch,26,Student,14,1,787.74,Sangat Rendah,0
1362.55,Debit,El Paso,M001,ATM,29,Engineer,106,1,2429.68,Sangat Rendah,0
792.57,Debit,Baltimore,M059,ATM,19,Student,164,1,770.37,Sangat Rendah,0
237.06,Debit,Phoenix,M049,Online,71,Retired,46,1,1182.77,Sangat Rendah,0
34.17,Credit,Philadelphia,M091,Online,54,Engineer,54,1,726.55,Sangat Rendah,0
740.25,Debit,Philadelphia,M010,Online,41,Doctor,123,1,14464.3,Sangat Rendah,0
453.54,Debit,Albuquerque,M017,ATM,58,Doctor,82,1,12046.3,Sangat Rendah,0
300.47,Debit,Jacksonville,M065,Branch,73,Retired,100,1,7885.64,Sangat Rendah,0
110.93,Credit,Virginia Beach,M036,Branch,19,Student,201,1,1952.35,Sangat Rendah,0
201.69,Debit,Las Vegas,M019,ATM,59,Doctor,299,1,7328.52,Sangat Rendah,0
399.21,Debit,Portland,M062,ATM,59,Engineer,109,1,3210.39,Sangat Rendah,0
1041.88,Debit,Jacksonville,M032,Online,78,Retired,57,1,5726.2,Sangat Rendah,0
630.36,Debit,Mesa,M084,ATM,62,Retired,52,1,1363.65,Sangat Rendah,0
10.94,Credit,Philadelphia,M083,ATM,60,Engineer,245,1,1241.99,Sangat Rendah,0
215.9,Debit,Los Angeles,M083,ATM,38,Doctor,235,1,7873.28,Sangat Rendah,0
1422.55,Debit,Washington,M072,Branch,79,Retired,165,1,5674.32,Sangat Rendah,0
226.37,Credit,Louisville,M041,Branch,49,Doctor,141,1,9840.04,Sangat Rendah,0
444.89,Credit,Las Vegas,M060,Branch,43,Doctor,101,1,10328.23,Sangat Rendah,0
280.57,Credit,Virginia Beach,M017,Online,25,Student,24,1,293.24,Sangat Rendah,0
488.54,Debit,Jacksonville,M036,Branch,52,Engineer,132,1,7486.63,Sangat Rendah,0
3.3,Credit,Los Angeles,M085,Branch,50,Doctor,131,1,11385.37,Sangat Rendah,0
199.39,Debit,Colorado Springs,M023,Branch,69,Retired,165,1,7264.79,Sangat Rendah,0
20.36,Debit,Tucson,M069,Branch,62,Retired,75,1,2762.48,Sangat Rendah,0
113.64,Debit,Detroit,M038,Online,62,Retired,32,1,6675.03,Sangat Rendah,0
493.11,Debit,Colorado Springs,M022,Branch,53,Retired,236,1,7432.99,Sangat Rendah,0
307.41,Debit,Los Angeles,M007,ATM,19,Student,14,1,1057.0,Sangat Rendah,0
11.18,Debit,Atlanta,M017,Online,43,Doctor,161,1,5956.89,Sangat Rendah,0
313.82,Debit,Tucson,M097,Branch,59,Engineer,151,1,7261.59,Sangat Rendah,0
51.0,Debit,Seattle,M063,Branch,64,Retired,107,1,4943.16,Sangat Rendah,0
140.98,Debit,Memphis,M059,Branch,60,Engineer,100,1,8127.48,Sangat Rendah,0
288.04,Debit,Denver,M092,ATM,68,Retired,63,1,1748.02,Sangat Rendah,0
800.55,Debit,Oklahoma City,M062,ATM,31,Engineer,108,1,9660.22,Sangat Rendah,0
485.54,Debit,Houston,M061,ATM,46,Engineer,143,1,6371.51,Sangat Rendah,0
521.15,Debit,Kansas City,M084,ATM,54,Doctor,214,1,9442.47,Sangat Rendah,0
321.79,Credit,Raleigh,M056,ATM,63,Retired,61,1,5959.2,Sangat Rendah,0
304.93,Debit,Portland,M098,ATM,65,Doctor,158,1,13531.22,Sangat Rendah,0
432.08,Debit,El Paso,M044,ATM,40,Doctor,145,1,11500.62,Sangat Rendah,0
694.2,Debit,Milwaukee,M035,ATM,61,Retired,72,1,1389.37,Sangat Rendah,0
116.86,Debit,Louisville,M088,ATM,55,Engineer,171,1,6706.56,Sangat Rendah,0
386.81,Credit,Detroit,M039,Online,57,Doctor,149,1,7175.29,Sangat Rendah,0
74.88,Debit,Atlanta,M026,ATM,25,Student,202,1,420.67,Sangat Rendah,0
195.76,Debit,Philadelphia,M056,Branch,75,Retired,99,1,7323.53,Sangat Rendah,0
134.7,Debit,Fort Worth,M074,ATM,50,Doctor,106,1,8395.85,Sangat Rendah,0
890.24,Credit,Las Vegas,M029,Online,33,Engineer,161,1,5140.93,Sangat Rendah,0
361.27,Debit,Omaha,M088,ATM,63,Doctor,180,1,7945.57,Sangat Rendah,0
131.56,Debit,Charlotte,M014,Branch,44,Doctor,42,1,5873.54,Sangat Rendah,0
485.51,Credit,Milwaukee,M097,Online,76,Retired,37,1,3074.45,Sangat Rendah,0
547.87,Debit,Columbus,M064,ATM,64,Retired,131,1,6155.76,Sangat Rendah,0
457.3,Debit,Virginia Beach,M042,Online,28,Engineer,15,1,8318.29,Sangat Rendah,0
506.24,Debit,Chicago,M077,ATM,58,Engineer,64,1,230.09,Sangat Rendah,0
486.59,Debit,Indianapolis,M017,Branch,57,Retired,119,1,2513.56,Sangat Rendah,0
163.68,Debit,San Diego,M087,Branch,41,Doctor,292,1,10090.05,Sangat Rendah,0
581.65,Debit,Boston,M009,ATM,22,Student,176,1,480.19,Sangat Rendah,0
52.01,Debit,Mesa,M019,ATM,48,Doctor,85,1,1120.88,Sangat Rendah,0
630.24,Debit,Boston,M054,ATM,21,Student,62,1,370.81,Sangat Rendah,0
523.74,Debit,Oklahoma City,M099,ATM,43,Doctor,159,1,13498.55,Sangat Rendah,0
705.6,Debit,Phoenix,M071,Branch,40,Doctor,124,3,14804.7,Rendah,1
217.5,Credit,Denver,M043,Branch,46,Engineer,35,1,3057.4,Sangat Rendah,0
91.48,Debit,Fort Worth,M081,ATM,51,Doctor,141,1,14942.78,Sangat Rendah,0
5.25,Debit,San Jose,M010,ATM,39,Doctor,49,1,14143.32,Sangat Rendah,0
54.03,Credit,Milwaukee,M087,ATM,56,Retired,161,1,6736.3,Sangat Rendah,0
736.73,Debit,Memphis,M037,Branch,48,Engineer,10,1,3313.07,Sangat Rendah,0
368.91,Debit,Virginia Beach,M082,Branch,54,Doctor,14,1,829.71,Sangat Rendah,0
33.06,Credit,Fort Worth,M045,Online,53,Retired,170,1,1540.87,Sangat Rendah,0
66.5,Credit,Louisville,M098,Online,32,Engineer,144,1,6820.23,Sangat Rendah,0
177.08,Debit,Las Vegas,M014,Online,35,Doctor,85,1,13475.14,Sangat Rendah,0
588.54,Debit,Portland,M031,Branch,32,Engineer,130,1,714.45,Sangat Rendah,0
173.5,Debit,Nashville,M052,ATM,21,Student,282,1,1306.91,Sangat Rendah,0
78.33,Credit,Memphis,M069,Online,56,Engineer,189,1,7255.33,Sangat Rendah,0
40.66,Debit,Louisville,M061,Branch,59,Retired,156,1,1153.84,Sangat Rendah,0
97.22,Credit,Atlanta,M063,Branch,77,Retired,55,1,6647.73,Sangat Rendah,0
34.07,Debit,Philadelphia,M080,Branch,22,Student,81,1,8709.77,Sangat Rendah,0
492.06,Debit,Fresno,M012,Online,23,Student,74,1,857.9,Sangat Rendah,0
842.01,Credit,Virginia Beach,M015,Online,53,Doctor,185,1,509.45,Sangat Rendah,0
73.55,Debit,Atlanta,M086,ATM,51,Engineer,158,1,2812.06,Sangat Rendah,0
760.53,Debit,Phoenix,M005,Online,57,Engineer,118,1,6179.91,Sangat Rendah,0
273.08,Credit,Houston,M007,Branch,26,Engineer,134,1,6609.3,Sangat Rendah,0
371.69,Debit,San Francisco,M020,Branch,67,Retired,143,1,3484.32,Sangat Rendah,0
218.96,Debit,Seattle,M021,ATM,18,Student,13,1,754.21,Sangat Rendah,0
227.39,Debit,Atlanta,M010,Online,18,Student,65,1,751.09,Sangat Rendah,0
237.99,Credit,Kansas City,M043,Branch,39,Doctor,86,1,8510.09,Sangat Rendah,0
186.6,Debit,Washington,M037,Online,58,Doctor,13,1,1508.72,Sangat Rendah,0
341.15,Debit,San Jose,M042,Online,18,Student,148,1,511.37,Sangat Rendah,0
434.58,Debit,Memphis,M091,ATM,59,Doctor,215,1,12648.32,Sangat Rendah,0
312.88,Credit,Portland,M040,Branch,54,Engineer,44,1,233.21,Sangat Rendah,0
75.15,Debit,Boston,M094,ATM,23,Student,154,1,1092.92,Sangat Rendah,0
23.3,Debit,Los Angeles,M061,ATM,59,Engineer,161,1,6711.15,Sangat Rendah,0
47.38,Credit,Seattle,M061,Online,25,Student,61,1,459.37,Sangat Rendah,0
512.81,Debit,Sacramento,M004,Branch,79,Retired,30,1,6994.34,Sangat Rendah,0
488.15,Debit,Louisville,M098,Branch,43,Engineer,168,1,7071.09,Sangat Rendah,0
12.82,Debit,Fort Worth,M055,ATM,44,Engineer,156,1,9045.19,Sangat Rendah,0
66.9,Credit,Charlotte,M021,Online,79,Retired,129,4,5238.71,Sedang,1
535.91,Debit,Las Vegas,M097,Online,43,Engineer,22,1,9642.12,Sangat Rendah,0
270.72,Credit,Washington,M094,Online,26,Engineer,53,1,6263.96,Sangat Rendah,0
97.98,Debit,Denver,M033,Branch,72,Retired,18,1,7460.33,Sangat Rendah,0
196.08,Debit,San Francisco,M088,Online,61,Retired,98,1,4233.82,Sangat Rendah,0
251.18,Debit,San Jose,M058,ATM,42,Engineer,246,1,8303.9,Sangat Rendah,0
44.52,Debit,El Paso,M081,Online,28,Student,205,1,314.28,Sangat Rendah,0
178.87,Debit,Baltimore,M001,Online,35,Doctor,180,1,5241.23,Sangat Rendah,0
1176.28,Credit,Kansas City,M074,ATM,54,Engineer,174,5,323.69,Sedang,1
386.68,Debit,New York,M019,Branch,46,Doctor,128,1,6863.06,Sangat Rendah,0
167.14,Debit,Denver,M049,Online,76,Retired,20,1,3877.73,Sangat Rendah,0
345.22,Debit,Fresno,M025,Branch,69,Retired,253,1,4046.58,Sangat Rendah,0
74.85,Debit,Raleigh,M091,ATM,72,Retired,117,1,2409.73,Sangat Rendah,0
671.73,Debit,Washington,M071,Branch,58,Engineer,54,1,5211.88,Sangat Rendah,0
255.04,Debit,Seattle,M084,ATM,45,Engineer,152,1,6217.86,Sangat Rendah,0
45.77,Debit,Philadelphia,M066,Online,25,Student,109,1,5978.12,Sangat Rendah,0
329.69,Credit,San Antonio,M088,Online,26,Student,66,1,1671.66,Sangat Rendah,0
362.04,Credit,Philadelphia,M059,Branch,58,Doctor,198,2,8421.88,Rendah,0
11.92,Debit,San Diego,M063,Branch,53,Doctor,52,1,14611.9,Sangat Rendah,0
47.42,Debit,San Diego,M012,ATM,64,Doctor,28,1,8253.52,Sangat Rendah,0
35.99,Debit,Miami,M023,Branch,63,Retired,129,1,4489.79,Sangat Rendah,0
151.19,Credit,New York,M061,Branch,37,Doctor,96,1,11903.82,Sangat Rendah,0
242.62,Credit,San Francisco,M094,Online,22,Student,234,1,483.02,Sangat Rendah,0
48.72,Debit,Virginia Beach,M063,Branch,21,Student,17,1,816.08,Sangat Rendah,0
43.46,Debit,Boston,M020,ATM,25,Student,80,1,578.06,Sangat Rendah,0
1036.21,Debit,Omaha,M067,Online,25,Student,126,1,477.3,Sangat Rendah,0
443.79,Debit,Las Vegas,M099,ATM,53,Retired,87,1,3133.85,Sangat Rendah,0
365.14,Debit,Dallas,M002,Online,68,Retired,57,1,5894.09,Sangat Rendah,0
757.41,Debit,Los Angeles,M048,ATM,22,Student,37,1,9532.42,Sangat Rendah,0
20.54,Debit,Fort Worth,M055,Branch,51,Engineer,72,1,5327.03,Sangat Rendah,0
475.36,Debit,Phoenix,M018,ATM,34,Engineer,105,1,2000.6,Sangat Rendah,0
34.74,Debit,San Francisco,M072,ATM,56,Retired,24,1,6827.57,Sangat Rendah,0
689.54,Debit,Oklahoma City,M038,Branch,27,Student,93,1,1633.76,Sangat Rendah,0
